Lema;LlenguaOrigen;Lemes_Morfema;PluralIrregular;CatGramatical;NivellLlengua;CatSemantica
decollage;francés;;;masculí;;
deconstrucció;;;;femení;;
decorticador;;-a;;adjectiu i masculí;;
decreiximent;;;;masculí;;
decrepitòmetre;;;;masculí;;
decrepitometria;;;;femení;;
defecador;;-a;;adjectiu i masculí;;
defecatiu;;-iva;;adjectiu;;
defendible;;;;adjectiu;;
defluir;;;;verb intransitiu;;
defluxió;;;;femení;;
deforer;;-a;;adjectiu i masculí i femení;;
deformatori;;-òria;;adjectiu;;
defraudament;;;;masculí;;
degollina;;;;femení;;
deixelar;;;;verb transitiu;antic;
delegador;;-a;;adjectiu i masculí i femení;;
delegador;;-a;;adjectiu;;
delineador;;-a;;adjectiu i masculí i femení;;
deliquiós;;-osa;;adjectiu;;
delírium trémens;;;;masculí;;
delitament;;;;masculí;;
delitança;;;;femení;;
deludir;;;;verb transitiu;;
delusiu;;-iva;;adjectiu;;
demanable;;;;adjectiu;;
demarcable;;;;adjectiu;;
demarratge;;;;masculí;;
demo;;;;femení;;
démodé;francés;;;adjectiu;;
demonolatria;;;;femení;;
demonòleg;;-òloga;;masculí i femení;;
demonomància;;;;femení;;
denans;;;;adverbi;antic;
denant;;;;adverbi;antic;
denantar;;;;verb transitiu;antic;
dendroide;;;;adjectiu;;
dendrolatria;;;;femení;;
denegador;;-a;;adjectiu i masculí i femení;;
denegador;;-a;;adjectiu;;
denegament;;;;masculí;;
dèneu;;;;adjectiu i masculí i femení;;
dentellut;;-uda;;adjectiu;;
dentoalveolar;;;;adjectiu;;
dentoalveolar;;;;adjectiu i femení;;
dentol;;;;masculí;;
deparador;;-a;;adjectiu i masculí i femení;;
depart;;;;masculí;antic;
deportista;;;;adjectiu i masculí i femení;;
deportiu;;-iva;;adjectiu;;
deportivament;;;;adverbi;;
deportivitat;;;;femení;;
depositable;;;;adjectiu;;
deprecador;;-a;;adjectiu;;
deprecar;;;;verb transitiu;;
dèpsid;;;;masculí;;
derelicció;;;;femení;;
dermàlgia;;;;femení;;
dermatocrani;;;;masculí;;
dermatofitosi;;;;femení;;
dermatoheliosi;;;;femení;;
dermatoide;;;;adjectiu;;
dermatomicosi;;;;femení;;
dermatopatia;;;;femení;;
dermatopatologia;;;;femení;;
dermofarmacèutic;;-a;;adjectiu;;
dermofarmàcia;;;;femení;;
dermohidratant;;;;adjectiu;;
dermoprotecció;;;;femení;;
dermoprotector;;-a;;adjectiu;;
dermotomia;;;;femení;;
derogador;;-a;;adjectiu;;
derogatiu;;-iva;;adjectiu;;
derramament;;;;masculí;;
derrocable;;;;adjectiu;;
derrocacimals;;;;masculí invariable;;
desabastir;;;;verb transitiu;;
desabonyar;;;;verb transitiu;;
desabotonar;;;;verb transitiu i pronominal;;
desabrigament;;;;masculí;;
desabsorció;;;;femení;;
desacalorament;;;;masculí;;
desacampar;;;;verb intransitiu;;
desacoblador;;-a;;masculí;;
desacoblador;;-a;;adjectiu;;
desacomodar;;;;verb transitiu;;
desacompanyament;;;;masculí;;
desacompanyar;;;;verb transitiu;;
desacovardir;;;;verb transitiu i pronominal;;
desacreditador;;-a;;masculí i femení;;
desacumular;;;;verb transitiu;;
desadsorció;;;;femení;;
desafaenar-se;;;;verb pronominal;;
desafaenat;;-ada;;adjectiu;;
desaforadament;;;;adverbi;;
desagravi;;;;masculí;;
desagraviar;;;;verb transitiu;;
desagrir;;;;verb transitiu;;
desaiguador;;;;masculí;;
desaiguament;;;;masculí;;
desairejar;;;;verb transitiu;;
desajuntament;;;;masculí;;
desalabar;;;;verb transitiu;;
desalar;;;;verb transitiu;;
desalienació;;;;femení;;
desalmidonar;;;;verb transitiu;;
desalquitranament;;;;masculí;;
desalquitranar;;;;verb transitiu;;
desalt;;;;masculí;antic;
desaltar;;;;verb intransitiu i pronominal;antic;
desamable;;;;adjectiu i masculí i femení;;
desamador;;-a;;adjectiu i masculí i femení;;
desamoblar;;;;verb transitiu;;
desamodorrar;;;;verb transitiu;;
desamortallar;;;;verb transitiu;;
desansar;;;;verb transitiu;;
desaparcar;;;;verb transitiu;;
desapilar;;;;verb transitiu i pronominal;;
desaquarterar;;;;verb transitiu;;
desarenament;;;;masculí;;
desarraïlament;;;;masculí;;
desarraïlar;;;;verb transitiu i pronominal;;
desarreglador;;-a;;adjectiu i masculí i femení;;
desasfaltar;;;;verb transitiu;;
desassegurar;;;;verb transitiu;;
desassetjament;;;;masculí;;
desassociar;;;;verb transitiu i pronominal;;
desatesorar;;;;verb transitiu;col·loquial;
desatresorar;;;;verb transitiu;;
desavançar;;;;verb transitiu;;
desavisar;;;;verb transitiu;;
desbaratori;;;;masculí;;
desbarriadís;;-issa;;adjectiu;;
desbarriadissa;;;;femení;;
desbarriament;;;;masculí;;
desbatejament;;;;masculí;;
desbellussar;;;;verb transitiu i pronominal;;
desbocador;;;;masculí;;
desbordejar;;;;verb transitiu;;
desbordissar;;;;verb transitiu;;
desborrellar;;;;verb transitiu;;
desbotifarrament;;;;masculí;;
desbrafament;;;;masculí;;
desbrafar-se;;;;verb pronominal;;
desbrafat;;-ada;;adjectiu;;
desbragar-se;;;;verb pronominal;;
desbrancament;;;;masculí;;
desbromada;;;;femení;;
desbromador;;;;masculí;;
desbromadora;;;;femení;;
desbromar;;;;verb transitiu;;
desbromar;;;;verb pronominal;;
desbudellador;;-a;;adjectiu i masculí i femení;;
desbudellament;;;;masculí;;
desburgable;;;;adjectiu;;
desburgada;;;;femení;;
desburgador;;-a;;adjectiu i masculí i femení;;
desburgar;;;;verb transitiu;;
desbutzada;;;;femení;;
desbutzar;;;;verb transitiu;;
desbutzar;;;;verb transitiu i pronominal;;
desbutzar;;;;verb intransitiu;;
desbutzat;;-ada;;adjectiu;;
descabar;;;;verb transitiu i pronominal;;
descabellament;;;;masculí;;
descabellonar;;;;verb transitiu i pronominal;;
descabellonat;;-ada;;adjectiu;;
descabestrar;;;;verb transitiu i pronominal;;
descadarsar;;;;verb transitiu;;
descalabrar;;;;verb transitiu i pronominal;;
descamar-se;;;;verb pronominal;;
descamotxar;;;;verb transitiu;;
descansapeus;;;;masculí invariable;;
descantellament;;;;masculí;;
descapellar;;;;verb transitiu;;
descaputxar;;;;verb transitiu;;
descaracteritzar;;;;verb transitiu;;
descarament;;;;masculí;;
descaramullar;;;;verb transitiu;;
descarrilador;;-a;;adjectiu;;
descarrilador;;-a;;masculí;;
descatolització;;;;femení;;
descatolitzar;;;;verb transitiu i pronominal;;
descavalcament;;;;masculí;;
descenyiment;;;;masculí;;
descerador;;;;masculí;;
descimalador;;-a;;masculí i femení;;
descintrament;;;;masculí;;
desclafollada;;;;femení;;
desclafollar;;;;verb transitiu;;
desclavament;;;;masculí;;
descoagulació;;;;femení;;
descomplementació;;;;femení;;
descompostura;;;;femení;;
desconeixementat;;-ada;;adjectiu i masculí i femení;;
desconeiximent;;;;masculí;;
desconeiximentat;;-ada;;adjectiu i masculí i femení;;
descontagiar;;;;verb transitiu;;
descopar;;;;verb transitiu;;
descopronar;;;;verb transitiu i pronominal;;
descoquització;;;;femení;;
descorbatat;;-ada;;adjectiu;;
descorcar;;;;verb transitiu;;
descorfollament;;;;masculí;;
descorfollar;;;;verb transitiu;;
descorriment;;;;masculí;;
descoscar;;;;verb transitiu i pronominal;;
descostellament;;;;masculí;;
descremadora;;;;femení;;
descromar;;;;verb transitiu;;
descrostament;;;;masculí;;
descuament;;;;masculí;;
descugular;;;;verb transitiu;;
descuixar;;;;verb transitiu;;
descuixar;;;;verb pronominal;;
desdenyador;;-a;;adjectiu i masculí i femení;;
desdoblegament;;;;masculí;;
desdogar;;;;verb transitiu;;
desdogar;;;;verb pronominal;;
desduellat;;-ada;;adjectiu;;
deseducador;;-a;;adjectiu;;
deseixidor;;;;masculí;;
deselectritzador;;;;masculí;;
desembafador;;-a;;adjectiu;;
desembambollar;;;;verb transitiu i pronominal;;
desembocador;;;;masculí;;
desembornar;;;;verb transitiu;;
desembruixament;;;;masculí;;
desemmasquerar;;;;verb transitiu i pronominal;;
desemmetxar;;;;verb transitiu;;
desempastissar;;;;verb transitiu i pronominal;;
desempastrar;;;;verb transitiu i pronominal;;
desempavonar;;;;verb transitiu;;
desempedrador;;-a;;masculí i femení;;
desempedrir;;;;verb transitiu i pronominal;;
desempelegar-se;;;;verb pronominal;;
desempellogar-se;;;;verb pronominal;;
desempindongar;;;;verb transitiu i pronominal;;
desempotrar;;;;verb transitiu;;
desencadenador;;-a;;adjectiu;;
desencalar;;;;verb transitiu;;
desencapellar;;;;verb transitiu;;
desencastellar;;;;verb transitiu;;
desencerar;;;;verb transitiu i pronominal;;
desenclavillar;;;;verb transitiu;;
desenclotxar;;;;verb transitiu i pronominal;;
desencollar;;;;verb transitiu i pronominal;;
desencolliment;;;;masculí;;
desendenyar;;;;verb transitiu;;
desendiablar;;;;verb transitiu;;
desendrapir;;;;verb transitiu i pronominal;;
desenfaixar;;;;verb transitiu i pronominal;;
desenforfoguir;;;;verb transitiu;;
desenganxador;;-a;;adjectiu;;
desenganyador;;-a;;adjectiu;;
desengarrofar-se;;;;verb pronominal;;
desengolar;;;;verb intransitiu;;
desengordir;;;;verb transitiu;;
desengramponar;;;;verb transitiu;;
desennoblir;;;;verb transitiu;;
desenquadernació;;;;femení;;
desenquadernador;;-a;;adjectiu i masculí i femení;;
desenredrar;;;;verb transitiu i pronominal;;
desenronquir;;;;verb transitiu;;
desenrotllisme;;;;masculí;;
desensariar;;;;verb transitiu;;
desensinistrar;;;;verb transitiu;;
desensolar;;;;verb transitiu;;
desentabuixar;;;;verb transitiu;;
desenterrador;;-a;;adjectiu i masculí i femení;;
desentonament;;;;masculí;;
desentonellar;;;;verb transitiu;;
desentorpiment;;;;masculí;;
desentortillar;;;;verb transitiu i pronominal;;
desescoriar;;;;verb transitiu;;
desesmaltar;;;;verb transitiu i pronominal;;
desesponjar-se;;;;verb pronominal;;
desestalzinar;;;;verb transitiu;;
desestatalització;;;;femení;;
desestimador;;-a;;adjectiu i masculí i femení;;
desetiquetar;;;;verb transitiu;;
desfalcador;;-a;;adjectiu i masculí i femení;;
desferrador;;-a;;adjectiu;;
desferrador;;-a;;masculí;;
desferrament;;;;masculí;;
desfibril·lar;;;;verb transitiu;;
desfiduciar;;;;verb transitiu;;
desfilagassar;;;;verb transitiu i pronominal;;
desfilarxar;;;;verb transitiu i pronominal;;
desfilassar;;;;verb transitiu i pronominal;;
desfloradís;;-issa;;adjectiu;;
desflorador;;-a;;masculí i femení;;
desformatador;;-a;;adjectiu i masculí;;
desfornadora;;;;femení;;
desforrar;;;;verb transitiu;;
desforrellar;;;;verb transitiu;;
desfortificar;;;;verb transitiu;;
desfotrell;;;;masculí;;
desfotrellat;;-ada;;adjectiu;;
desfulladís;;-issa;;adjectiu;;
desfullador;;-a;;adjectiu i masculí i femení;;
desfullament;;;;masculí;;
desgallonar;;;;verb transitiu;;
desganament;;;;masculí;;
desganyir-se;;;;verb pronominal;;
desganyitar-se;;;;verb pronominal;;
desgarrall;;;;masculí;;
desgarramellar-se;;;;verb pronominal;;
desgasificador;;;;masculí;;
desgasificar;;;;verb transitiu;;
desgasolinar;;;;verb transitiu;;
desgropar;;;;verb transitiu;;
desgrugadora;;;;femení;;
deshalogenació;;;;femení;;
desharmonia;;;;femení;;
deshidrohalogenació;;;;femení;;
desil·lusionador;;-a;;adjectiu;;
desimboldre's;;;;verb pronominal;;
desimpressionar;;;;verb transitiu;;
desintubar;;;;verb transitiu;;
desitjador;;-a;;adjectiu;;
desllapissar-se;;;;verb pronominal;;
deslleal;;;;adjectiu;;
desllealment;;;;adverbi;;
desllealtat;;;;femení;;
desllenguar;;;;verb transitiu;;
desllomadura;;;;femení;;
desllustrador;;-a;;adjectiu;;
desllustrós;;-osa;;adjectiu;;
desmadeixament;;;;masculí;;
desmallolar;;;;verb transitiu;;
desmargenar;;;;verb transitiu;;
desmedrar;;;;verb intransitiu;;
desmelar;;;;verb transitiu;;
desmereixement;;;;masculí;;
desmereiximent;;;;Masculí;;
desmesurar;;;;verb transitiu;;
desmilloria;;;;femení;;
desmollar;;;;verb transitiu;;
desmollegar;;;;verb transitiu;;
desmollericar;;;;verb transitiu;;
desmosterol;;;;masculí;;
desmotxada;;;;femení;;
desmotxadura;;;;femení;;
desmotxar;;;;verb transitiu;;
desmullerar;;;;verb transitiu i pronominal;;
desmultiplicar;;;;verb transitiu;;
desnevada;;;;loc. adv. s.l.;;
desnevar;;;;verb intransitiu;;
desniquelar;;;;verb transitiu;;
desniuar;;;;verb transitiu;;
desniuar;;;;verb pronominal;;
desnivellable;;;;adjectiu;;
desorbitació;;;;femení;;
desordenació;;;;femení;;
desordenament;;;;masculí;;
desordenança;;;;femení;;
despalladora;;;;femení;;
despampolament;;;;masculí;;
despanollar;;;;verb transitiu;;
desparafinar;;;;verb transitiu;;
despartidor;;-a;;adjectiu;;
despartiment;;;;masculí;;
despartir;;;;verb transitiu i pronominal;;
despatxador;;-a;;masculí i femení;;
despatxament;;;;masculí;;
despear-se;;;;verb pronominal;;
despecatar;;;;verb transitiu;;
despecatar;;;;verb pronominal;;
despeçonada;;;;femení;;
despeçonament;;;;masculí;;
despeçonar;;;;verb transitiu;;
despentinament;;;;masculí;;
desperdiciar;;;;verb transitiu;;
desperesó;;;despereó;masculí;;
despilandratxat;;-ada;;adjectiu;;
despinyoladora;;;;femení;;
despitrellat;;-ada;;adjectiu;;
desplantador;;-a;;adjectiu i masculí i femení;;
desplantador;;-a;;masculí;;
desplanxar;;;;verb transitiu;;
desplatejament;;;;masculí;;
desplatejar;;;;verb transitiu;;
desplec;;;;masculí;;
despollegament;;;;masculí;;
despopularitzar;;;;verb transitiu i pronominal;;
desportinar;;;;verb transitiu;;
desprogramació;;;;femení;;
despuix;;;;adverbi;antic;
despumadora;;;;femení;;
despuntament;;;;masculí;;
desquallar;;;;verb transitiu i pronominal;;
desqueixalament;;;;masculí;;
desraonable;;;;adjectiu;;
desraspar;;;;verb transitiu;;
desregladament;;;;adverbi;;
desregularització;;;;femení;;
desregularitzar;;;;verb transitiu;;
desrenglar;;;;verb transitiu;;
desrenyonar-se;;;;verb pronominal;;
desronyador;;-a;;adjectiu;;
desronyament;;;;masculí;;
dessaboriment;;;;masculí;;
dessalació;;;;femení;;
desseguidat;;-ada;;adjectiu;;
dessentit;;-ida;;adjectiu;;
desservici;;;;masculí;;
dessolidaritzar-se;;;;verb pronominal;;
dessonillament;;;;masculí;;
dessots;;;;adverbi;antic;
dessuament;;;;masculí;;
dessulfitar;;;;verb transitiu;;
destaconar;;;;verb transitiu;;
destapaparades;;;;masculí invariable;;
destara;;;;femení;;
destarar;;;;verb transitiu;;
destarifar-se;;;;verb pronominal;;
destemplar;;;;verb transitiu i pronominal;col·loquial;
destemps;;;;loc. adv. ;;
destendre;;;;verb transitiu i pronominal;;
desterrossadora;;;;femení;;
destinyar;;;;verb transitiu;;
destorbament;;;;masculí;;
destorbanegocis;;;;masculí i femení invariable;;
destorbapastors;;;;masculí invariable;;
destoxicar;;;;verb transitiu;;
destraçat;;-ada;;adjectiu;;
destructibilitat;;;;femení;;
desvalorització;;;;femení;;
desvaniment;;;;masculí;;
desvelament;;;;masculí;;
desvellar;;;;verb transitiu;;
desventament;;;;masculí;;
desvirador;;;;masculí;;
desvirginesa;;;;femení;antic;
desvirtuació;;;;femení;;
desvitaminat;;-ada;;adjectiu;;
desvoler;;;;masculí;;
detorsió;;;;femení;;
deumesí;;-ina;;adjectiu i masculí i femení;;
deuterogàmia;;;;femení;;
deuteroneurona;;;;femení;;
deuterur;;;;masculí;;
deutocervell;;;;masculí;;
devallament;;;;masculí;;
devallar;;;;verb transitiu i intransitiu;;
devedé;;;-és;masculí;;
deveres;;;;adverbi;;
deveres;;;;loc. adv.;;
devocioner;;-a;;adjectiu;;
dexiocàrdia;;;;femení;;
dextroglucosa;;;;femení;;
dha;;;dhas;femení;;
dhal;;;;femení;;
diablesc;;-a;;adjectiu;;
diacatolicon;;;;masculí;;
diacàustic;;-a;;adjectiu;;
diafragmatitis;;;;femení invariable;;
diafragmatocele;;;;femení;;
diagenètic;;-a;;adjectiu;;
dialefa;;;;femení;;
dialogador;;-a;;adjectiu;;
dialogador;;-a;;masculí i femení;;
diastàsic;;-a;;adjectiu;;
diastròfia;;;;femení;;
diastròfic;;-a;;adjectiu;;
dibuixador;;-a;;adjectiu;;
dicacitat;;;;femení;;
dicèfal;;-a;;adjectiu i masculí i femení;;
dicefàlia;;;;femení;;
dicromàtic;;-a;;adjectiu;;
dictaminador;;-a;;adjectiu;;
didelf;;;;masculí;;
diestre;;;;masculí;;
diexisme;;;;masculí;;
diexista;;;;masculí i femení;;
digitiforme;;;;adjectiu;;
diiàmbic;;-a;;adjectiu;;
dilatometria;;;;femení;;
dilucidable;;;;adjectiu;;
dilucidador;;-a;;adjectiu;;
diluvianisme;;;;masculí;;
diminuendo;italià;;;adverbi i masculí;;
dinàmia;;;;femení;;
dinamicitat;;;;femení;;
dinamogen;;-ògena;;adjectiu;;
dinamometria;;;;femení;;
ding-dang;;;;onomatopeia i masculí;;
ding-ding;;;;onomatopeia i masculí;;
ding-dong;;;;onomatopeia i masculí;;
dinguindaina;;;;femení;;
dioctaedre;;;;masculí;;
dipnèumon;;-a;;adjectiu;;
discman;;;;masculí;;
discursejador;;-a;;adjectiu i masculí i femení;;
discursivitat;;;;femení;;
disharmònic;;-a;;adjectiu;;
disharmònic;;-a;;adjectiu i masculí;;
dislàlic;;-a;;adjectiu;;
dislàlic;;-a;;adjectiu i masculí i femení;;
dismorfisme;;;;masculí;;
disorèxia;;;;femení;;
dispondre;;;;verb transitiu, intransitiu i pronominal;;
disqueratosi;;;;femení;;
dissecable;;;;adjectiu;;
disseccionador;;-a;;adjectiu i masculí i femení;;
disseminador;;-a;;adjectiu i masculí i femení;;
dissertador;;-a;;masculí i femení;;
dissimulador;;-a;;adjectiu;;
dissociador;;-a;;adjectiu;;
distanàsia;;;;femení;;
distèrmia;;;;femení;;
distímic;;-a;;adjectiu;;
districtual;;;;adjectiu;;
ditar;;;;verb transitiu;;
ditera;;;;femení;;
ditó;;;;masculí;;
ditologia;;;;femení;;
diversificable;;;;adjectiu;;
divertimento;italià;;;masculí;;
divorç;;;;masculí;;
djiboutià;;-ana;;adjectiu;;
djiboutià;;-ana;;adjectiu i masculí i femení;;
doblegó;;;;masculí;;
dolçam;;;;masculí;;
dolçastre;;;;adjectiu;;
dolceria;;;;femení;;
dolçós;;-osa;;adjectiu;;
dolentís;;-issa;;adjectiu;;
dolmènic;;-a;;adjectiu;;
dolora;;;;femení;;
dòmina;;;;femení;;
dotacional;;;;adjectiu;;
doxològic;;-a;;adjectiu;;
drageament;;;;masculí;;
dram;;;;masculí;;
drenable;;;;adjectiu;;
dretcient;;;;loc. adv. s.l.;;
dric-drac;;;;loc. adv.;;
dringador;;-a;;adjectiu;;
drissar;;;;verb transitiu;;
drive;anglés;;;masculí;;
dromòmetre;;;;masculí;;
drover;;-a;;adjectiu i masculí i femení;;
drover;;-a;;adjectiu;;
dubtador;;-a;;adjectiu i masculí i femení;;
duodècim;;-ècima;;adjectiu i masculí;;
duodenotomia;;;;femení;;
durelló;;;;masculí;;
ea;;;;interjecció;;
ebola;;;èbola;masculí;;
ebusità;;-ana;;adjectiu i masculí i femení;;
ecfonètica;;;;femení;;
ecoauditoria;;;;femení;;
ecocidi;;;;masculí;;
ecodièsel;;;;masculí;;
ecoencefalogràfic;;-a;;adjectiu;;
ecoetiqueta;;;;femení;;
ecofòbia;;;;femení;;
ecogestió;;;;femení;;
ecografista;;;;masculí i femení;;
ecoindústria;;;;femení;;
ecosonda;;;;femení;;
ecovirus;;;;masculí invariable;;
ectòpag;;-a;;adjectiu i masculí i femení;;
ectoplàsmia;;;;femení;;
edafològic;;-a;;adjectiu;;
edam;;;;masculí;;
edificatori;;-òria;;adjectiu;;
editorialitzar;;;;verb transitiu;;
edra;;;;femení;;
efèbic;;-a;;adjectiu;;
eferència;;;;femení;;
egipcíac;;-a;;adjectiu;;
egiptològic;;-a;;adjectiu;;
eguada;;;;femení;;
eguater;;-a;;masculí i femení;;
eixampliu;;;;masculí;;
eixarretar;;;;verb transitiu;;
eixarriment;;;;masculí;;
eixarrir;;;;verb transitiu i pronominal;;
eixarrit;;-ida;;adjectiu;;
eixartigar;;;;verb transitiu;;
eixert;;;;masculí;antic;
eixetar;;;;verb transitiu i pronominal;;
eixinguer;;;;masculí;;
eixingueró;;;;masculí;;
eixorar;;;;verb intransitiu;antic;
eixorquir;;;;verb transitiu;;
eixugadís;;-issa;;adjectiu;;
eixugament;;;;masculí;;
ejaculatori;;-òria;;adjectiu;;
elàfode;;;;masculí;;
elastosi;;;;femení;;
elaterina;;;;femení;;
elaterita;;;;femení;;
eleatisme;;;;masculí;;
electritzador;;-a;;adjectiu;;
electro;;;;masculí;;
electrodialitzador;;-a;;adjectiu i masculí;;
electroneurografia;;;;femení;;
electrosolar;;;;adjectiu;;
eleotècnia;;;;femení;;
elepé;;;-és;masculí;;
elevament;;;;Masculí;;
eli;;;;loc. adv.;antic;
elitrectomia;;;;femení;;
elitrorràgia;;;;femení;;
elitrotomia;;;;femení;;
emanador;;-a;;adjectiu;;
emancipable;;;;adjectiu;;
emasculador;;;;masculí;;
embabucador;;-a;;adjectiu i masculí i femení;;
embabuixar;;;;verb transitiu;;
embacorat;;-ada;;adjectiu;col·loquial;
embafadís;;-issa;;adjectiu;;
embagassir;;;;verb transitiu i pronominal;col·loquial;
embaltir;;;;verb transitiu i pronominal;;
embambollar;;;;verb transitiu i pronominal;;
embanyar;;;;verb transitiu;;
embaranar;;;;verb transitiu;;
embarassador;;-a;;adjectiu;;
embarassós;;-osa;;adjectiu;;
embarbador;;;;masculí;;
embardollar;;;;verb transitiu;;
embargabilitat;;;;femení;;
embaülar;;;;verb transitiu;;
embelcar-se;;;;verb pronominal;;
embelcat;;-ada;;adjectiu i masculí i femení;;
embeltir;;;;verb transitiu i pronominal;;
embeneitir;;;;verb transitiu;;
embetumador;;-a;;masculí i femení;;
embicar;;;;verb transitiu;;
embigotat;;-ada;;adjectiu;;
embolador;;-a;;adjectiu;;
embolcament;;;;masculí;;
embordir;;;;verb transitiu i pronominal;;
emborregat;;-ada;;adjectiu;;
emborrussar;;;;verb transitiu;;
emborrussar;;;;verb pronominal;;
emborsament;;;;Masculí;;
embossadina;;;;femení;;
embossamenta;;;;femení;col·loquial;
embotinador;;-a;;adjectiu i masculí i femení;;
embrasquillar;;;;verb transitiu i pronominal;;
embreament;;;;Masculí;;
embresquillat;;-ada;;adjectiu;;
embrinada;;;;femení;;
embrinar;;;;verb transitiu;;
embruta-sopars;;;;masculí i femení invariable;;
emmaliciada;;;;femení;;
emmaliciar;;;;verb transitiu;;
emmasquerament;;;;masculí;;
emmasquerar;;;;verb transitiu;;
emmurtar;;;;verb transitiu;;
empaperinar;;;;verb transitiu;;
empapussador;;-a;;adjectiu i masculí i femení;;
empapussament;;;;Masculí;;
emparadisar;;;;verb transitiu;;
emparador;;-a;;adjectiu;;
emparralador;;-a;;adjectiu;;
empastració;;;;femení;;
empatecar;;;;verb transitiu;;
empedriment;;;;masculí;;
empedrir;;;;verb transitiu;;
empedrir;;;;verb pronominal;;
empedrit;;-ida;;adjectiu;;
empeguidor;;-a;;adjectiu;;
empeguiment;;;;masculí;;
empeguir-se;;;;verb pronominal;;
empeguit;;-ida;;adjectiu;;
empesaire;;;;masculí i femení;;
empinent;;-a;;adjectiu;;
empiuar;;;;verb transitiu;;
empolar;;;;verb intransitiu;;
empolserar;;;;verb transitiu;;
emponar-se;;;;verb pronominal;;
empotrar;;;;verb transitiu;;
empotrat;;-ada;;adjectiu;;
emprimadora;;;;femení;;
emprompte;;;;loc. adv.;;
empugonar;;;;verb transitiu i pronominal;;
encaixonament;;;;Masculí;;
encalmament;;;;Masculí;;
encamallada;;;;femení;;
encamallar-se;;;;verb pronominal;;
encanària;;;;femení;;
encapritxament;;;;Masculí;;
encarabassat;;-ada;;adjectiu;;
encaramitar-se;;;;verb pronominal;;
encaró;;;;masculí;;
encartonador;;-a;;masculí i femení;;
encasacar;;;;verb transitiu;;
encasellable;;;;adjectiu;;
encefalomalàcia;;;;femení;;
enceguerar;;;;verb transitiu i pronominal;;
enceguerat;;-ada;;adjectiu;;
encerolar;;;;verb transitiu;;
encerrellador;;-a;;adjectiu i masculí i femení;;
encertill;;;;masculí;;
encetador;;-a;;adjectiu;;
enciscar-se;;;;verb pronominal;;
enclotxament;;;;Masculí;;
encoleritzar-se;;;;verb pronominal;;
encollerar;;;;verb transitiu;;
encollerat;;-ada;;adjectiu;;
encorbatar;;;;verb transitiu i pronominal;;
encordellament;;;;masculí;;
encorretjar;;;;verb transitiu;;
encrostament;;;;masculí;;
encuixar;;;;verb transitiu;;
endenyament;;;;Masculí;;
endoblegament;;;;masculí;;
endoblegar;;;;verb transitiu i pronominal;;
endoblegó;;;;masculí;;
endocervicitis;;;;femení invariable;;
endogènesi;;;;femení;;
endolament;;;;Masculí;;
endongar;;;;verb transitiu;;
endossable;;;;adjectiu;;
endrapir-se;;;;verb pronominal;;
endreçador;;-a;;adjectiu;;
enemistança;;;;femení;;
enfant terrible;francés;;;masculí i femení;;
enfarinador;;-a;;masculí i femení;;
enfelegar-se;;;;verb pronominal;;
enferregar-se;;;;verb pronominal;;
enfervoritzador;;-a;;adjectiu;;
enfilament;;;;Masculí;;
enfilatada;;;;femení;;
enfilatar;;;;verb transitiu;;
enflocallar;;;;verb transitiu i pronominal;;
enfondró;;;;masculí;;
enforfoguiment;;;;masculí;;
enforrellar;;;;verb transitiu;;
enforrunar-se;;;;verb pronominal;;
enfrarar;;;;verb transitiu;;
enfrarat;;-ada;;adjectiu;;
enfrascar-se;;;;verb pronominal;;
engambalar-se;;;;verb pronominal;;
enganxadís;;-issa;;adjectiu;;
enganxagossos;;;;masculí invariable;;
engarbador;;-a;;adjectiu i masculí i femení;;
engarbadora;;;;femení;;
engarrotament;;;;masculí;;
engatussar;;;;verb transitiu;;
engelebrir-se;;;;verb pronominal;;
engimbori;;;;masculí;;
engolament;;;;Masculí;;
engolible;;;;adjectiu;;
engorritar-se;;;;verb pronominal;;
engramallat;;-ada;;adjectiu;;
engrauar-se;;;;verb pronominal;;
engrisar;;;;verb transitiu i pronominal;;
engroguiment;;;;Masculí;;
engronyonir-se;;;;verb pronominal;;
engròs;;;;loc. adv. s.l.;;
engrossar;;;;verb transitiu i pronominal;;
engrum;;;;masculí;;
engrunsó;;;;masculí;;
enguatar;;;;verb transitiu;;
enguixament;;;;Masculí;;
enjudiciable;;;;adjectiu;;
enjuïciament;;;;masculí;;
enjuïciar;;;;verb transitiu;;
enjuliolar;;;;verb transitiu i pronominal;;
enlerta;;;;adverbi;;
enllandament;;;;masculí;;
enllaner;;-a;;adjectiu;;
enllençolar;;;;verb transitiu;;
enlluernadís;;-issa;;adjectiu;;
enoploide;;;;masculí plural;;
enoploide;;;;masculí singular;;
enorgullidor;;-a;;adjectiu;;
enquadernable;;;;adjectiu;;
enrastellament;;;;Masculí;;
enrastrada;;;;femení;;
enrastrar;;;;verb transitiu;;
enrenglerar;;;;verb transitiu;;
enresinar;;;;verb transitiu;;
enresinar;;;;verb pronominal;;
enrobustidor;;-a;;adjectiu;;
enrodar;;;;verb transitiu;;
enroglar;;;;verb transitiu;;
enroscadís;;-issa;;adjectiu;;
enroscament;;;;Masculí;;
ensabonament;;;;Masculí;;
ensacament;;;;Masculí;;
ensagristada;;;;adjectiu i femení;antic;
ensaladera;;;;femení;;
ensalobrat;;-ada;;adjectiu;;
ensalobrit;;-ida;;adjectiu;;
ensanguinada;;;;femení;;
