DENOMINACIÓ DELS MUNICIPIS VALENCIANS 			
Font: http://www.avl.gva.es/documents/84900/91479/Denominaci%C3%B3+dels+municipis+valencians/			
NOM VALENCIÀ	NOM OFICIAL 	GENTILICI 	PRED. LING. 
Sant Joanet 	Sant Joanet 	santjoaner, santjoanera 	valencià 
Sant Joan de Moró 	Sant Joan de Moró 	santjoaner, santjoanera 	valencià 
Sant Jordi 	Sant Jordi / San Jorge 	santjordienc, santjordienca 	valencià 
Sant Mateu 	Sant Mateu 	santmateuà, santmateuana 	valencià 
Sant Miquel de les Salines 	San Miguel de Salinas 	santmiqueler, santmiquelera 	castellà 
Sant Rafel del Riu 	San Rafael del Río 	sant-rafelí, sant-rafelina 	valencià 
Sant Vicent del Raspeig 	Sant Vicent del Raspeig / San Vicente del Raspeig 	santvicenter, santvicentera 	valencià 
Santa Magdalena de Polpís 	Santa Magdalena de Pulpis 	magdalener, magdalenera 	valencià 
Santa Pola 	Santa Pola 	santapoler, santapolera 	valencià 
Sedaví 	Sedaví 	sedavienc, sedavienca 	valencià 
Segart 	Segart 	segardí, segardina 	valencià 
Sella 	Sella 	sellard, sellarda 	valencià 
Sellent 	Sellent 	sellentí, sellentina 	valencià 
Sempere 	Sempere 	semperenc, semperenca 	valencià 
Senija 	Senija 	senijol, senijola 	valencià 
Senyera 	Senyera 	senyerut, senyeruda 	valencià 
Serra 	Serra 	serratí, serratina 	valencià 
Serra d’en Galceran, la 	Sierra Engarcerán 	serratí, serratina 	valencià 
Serratella, la 	Serratella, la 	serratellà, serratellana 	valencià 
Setaigües 	Siete Aguas 	setaigüer, setaigüera 	castellà 
Silla 	Silla 	siller, sillera 	valencià 
Simat de la Valldigna 	Simat de la Valldigna 	simater, simatera 	valencià 
Sinarques 	Sinarcas 	sinarquenc, sinarquenca 	castellà 
Sogorb 	Segorbe 	sogorbí, sogorbina 	castellà 
Sollana 	Sollana 	sollaner, sollanera 	valencià 
Soneixa 	Soneja 	soneixí, soneixina 	castellà 
Sorita 	Zorita del Maestrazgo 	sorità, soritana 	valencià 
Sot de Ferrer 	Sot de Ferrer 	soter, sotera 	castellà 
Sot de Xera 	Sot de Chera 	soter, sotera 	castellà 
Sucaina 	Zucaina 	sucainer, sucainera 	castellà 
Sueca 	Sueca 	suecà, suecana 	valencià 
Suera 	Suera / Sueras 	suerenc, suerenca 	valencià 
Sumacàrcer 	Sumacàrcer 	sumacarcerí, sumacarcerina 	valencià 
Tales 	Tales 	taler, talera 	valencià 
Tàrbena 	Tàrbena 	tarbener, tarbenera 	valencià 
Tavernes Blanques 	Tavernes Blanques 	taverner, tavernera 	valencià 
Tavernes de la Valldigna 	Tavernes de la Valldigna 	valler, vallera 	valencià 
Teresa 	Teresa 	teresà, teresana 	castellà 
Teresa de Cofrents 	Teresa de Cofrentes 	teresà, teresana 	castellà 
Terrateig 	Terrateig 	terrategí, terrategina 	valencià 
Teulada 	Teulada 	teulader, teuladera 	valencià 
Tibi 	Tibi 	tiber, tibera 	valencià 
Tírig 	Tírig 	tirijà, tirijana 	valencià 
Titaigües 	Titaguas 	titaigüenc, titaigüenca 	castellà 
Todolella, la 	Todolella 	todolellà, todolellana 	valencià 
Toga 	Toga 	togà, togana 	castellà 
Toixa 	Tuéjar 	toixà, toixana 	castellà 
Tollos 	Tollos 	toller, tollera 	valencià 
Toràs 	Torás 	toraser, torasera 	castellà 
Torís 	Turís 	torisà, torisana 	valencià 
Tormos 	Tormos 	tormer, tormera 	valencià 
Toro, El 	Toro, El 	torà, torana 	castellà 
Torralba 	Torralba del Pinar 	torralbí, torralbina 	castellà 
Torre d’en Besora, la 	Torre d’en Besora, la 	torretí, torretina 	valencià 
Torre d’en Doménec, la 	Torre d’en Doménec, la 	torretí, torretina 	valencià 
Torre de les Maçanes, la 	Torre de les Maçanes, la / Torremanzanas 	torrudà, torrudana 	valencià 
Torrebaixa 	Torrebaja 	torrebaixer, torrebaixera 	castellà 
Torreblanca 	Torreblanca 	torreblanquí, torreblanquina 	valencià 
Torrella 	Torrella 	torrellà, torrellana 	valencià 
Torrent 	Torrent 	torrentí, torrentina 	valencià 
Torres Torres 	Torres Torres 	torrestorrer, torrestorrera 	valencià 
Torrevella 	Torrevieja 	torrevellenc, torrevellenca 	castellà 
Torre-xiva 	Torrechiva 	torre-xiver, torre-xivera 	castellà 
Tous 	Tous 	touer, touera 	castellà 
Traiguera 	Traiguera 	traiguerí, traiguerina 	valencià 
Useres, les 	Useres, les / Useras 	userà, userana 	valencià 
Utiel 	Utiel 	utielà, utielana 	castellà 
València 	València 	valencià, valenciana 	valencià 
Vall d’Alba, la 	Vall d’Alba 	valldalbenc, valldalbenca 	valencià 
Vall d’Alcalà, la 	Vall d’Alcalà, la 	alcalaner, alcalanera 	valencià 
Vall d’Almonesir, la 	Vall de Almonacid 	valler, vallera 	castellà 
Vall d’Ebo, la 	Vall d’Ebo, la 	ebolí, ebolina 	valencià 
Vall d’Uixó, la 	Vall d’Uixó, la 	valler, vallera 	valencià 
Vall de Gallinera, la 	Vall de Gallinera 	valler, vallera 	valencià 
Vall de Laguar, la 	Vall de Laguar, la 	guarer, guarera 	valencià 
Vallada 	Vallada 	valladí, valladina 	valencià 
Vallanca 	Vallanca 	vallanquer, vallanquera 	castellà 
Vallat 	Vallat 	vallatí, vallatina 	castellà 
Vallés 	Vallés 	vallesí, vallesina 	valencià 
Vallibona 	Vallibona 	vallibonenc, vallibonenca 	valencià 
Venta del Moro 	Venta del Moro 	ventamorí, ventamorina 	castellà 
Verger, el 	Verger, el 	vergerí, vergerina 	valencià 
Vila Joiosa, la 	Vila Joiosa, la / Villajoyosa 	viler, vilera 	valencià 
Vilafamés 	Vilafamés 	vilafamesí, vilafamesina 	valencià 
Vilafermosa 	Villahermosa del Río 	vilafermoser, vilafermosera 	castellà 
Vilafranca 	Vilafranca / Villafranca del Cid 	vilafranquí, vilafranquina 	valencià 
Vilallonga 	Vilallonga/Villalonga 	vilallonguer, vilallonguera 	valencià 
Vilamalur 	Villamalur 	vilamalurenc, vilamalurenca 	castellà 
Vilamarxant 	Vilamarxant 	vilamarxanter, vilamarxantera 	valencià 
Vilanova d’Alcolea 	Vilanova d’Alcolea 	vilanoví, vilanovina 	valencià 
Vilanova de Castelló 	Villanueva de Castellón 	castellonenc, castellonenca 	valencià 
Vilanova de la Reina 	Villanueva de Viver 	vilanovenc, vilanovenca 	castellà 
Vilar de Canes 	Vilar de Canes 	vilarenc, vilarenca 	valencià 
Vila-real 	Vila-real 	vila-realenc, vila-realenca 	valencià 
Vilavella, la 	Vilavella, la 	vilaveller, vilavellera 	valencià 
Villar, el 	Villar del Arzobispo 	vilarenc, vilarenca 	castellà 
Villargordo del Cabriel 	Villargordo del Cabriel 	villagordenc, villagordenca 	castellà 
Villena 	Villena 	villener, villenera 	castellà 
Villores 	Villores 	villorí, villorina 	valencià 
Vinalesa 	Vinalesa 	vinalesí, vinalesina 	valencià 
Vinaròs 	Vinaròs 	vinarossenc, vinarossenca 	valencià 
Vistabella del Maestrat 	Vistabella del Maestrat 	vistabellà, vistabellana 	valencià 
Viver 	Viver 	viverenc, viverenca 	castellà 
Xàbia 	Xàbia / Jávea 	xabienc, xabienca 	valencià 
Xacarella 	Jacarilla 	xacarellenc, xacarellenca 	castellà 
Xalans 	Jalance 	xalansí, xalansina 	castellà 
Xaló 	Xaló 	xaloner, xalonera 	valencià 
Xarafull 	Jarafuel 	xarafullà, xarafullana 	castellà 
Xàtiva 	Xàtiva 	xativí, xativina 	valencià 
Xella 	Chella 	xellí, xellina 	castellà 
Xelva 	Chelva 	xelvà, xelvana 	castellà 
Xera 	Chera 	xerà, xerana 	castellà 
Xeraco 	Xeraco 	xeraquer, xeraquera 	valencià 
Xeresa 	Xeresa 	xeresà, xeresana 	valencià 
Xèrica 	Jérica 	xericà, xericana 	castellà 
Xert 	Xert 	xertolí, xertolina 	valencià 
Xest 	Cheste 	xestà, xestana 	castellà 
Xestalgar 	Gestalgar 	xestalguí, xestalguina 	castellà 
Xilxes 	Xilxes / Chilches 	xilxer, xilxera 	valencià 
Xirivella 	Xirivella 	xiriveller, xirivellera 	valencià 
Xiva 	Chiva 	xivà, xivana 	castellà 
Xixona 	Xixona / Jijona 	xixonenc, xixonenca 	valencià 
Xodos 	Xodos / Chodos 	xodenc, xodenca 	valencià 
Xóvar 	Chóvar 	xover, xovera 	castellà 
Xulilla 	Chulilla 	xulillà, xulillana 	castellà 
Zarra 	Zarra 	sarrí, sarrina 	castellà 
			
 			
